id, ex_name,count,machine_id,name,disk_count,speed,cost,size,name,ram,cpu_count,speed,cost, time, cost
1,kmeans,10,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,936.59,1.74830133333
2,kmeans,14,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,837.68,2.18913706667
3,kmeans,4,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,2804.23,2.09382506667
4,kmeans,6,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,2422.51,2.7132112
5,kmeans,8,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,1219.74,1.8214784
6,kmeans,16,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,4385.07,5.0282136
7,kmeans,24,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,2563.61,4.4094092
8,kmeans,12,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1702.94,2.2478808
9,kmeans,16,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1341.39,2.3608464
10,kmeans,20,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1130.05,2.48611
11,kmeans,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1334.33,4.1097364
12,kmeans,8,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,2927.78,2.5764464
13,kmeans,14,4,local,2,fast,0,500,i2.2xlarge,61,8,slow,1.876,509.41,3.71642895556
14,kmeans,4,4,local,2,fast,0,500,i2.2xlarge,61,8,slow,1.876,1481.37,3.08783346667
15,kmeans,6,4,local,2,fast,0,500,i2.2xlarge,61,8,slow,1.876,669.5,2.09330333333
16,kmeans,8,4,local,2,fast,0,500,i2.2xlarge,61,8,slow,1.876,576.96,2.40528213333
17,kmeans,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,626.32,1.95829386667
18,kmeans,16,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,567.32,2.36509404444
19,kmeans,20,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,534.65,2.78612055556
20,kmeans,28,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,551.56,4.02393662222
21,kmeans,8,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,1535.11,3.19985151111
22,kmeans,10,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,518.21,1.01914633333
23,kmeans,14,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,500.51,1.37807086667
24,kmeans,4,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,2827.75,2.22449666667
25,kmeans,6,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,1427.25,1.684155
26,kmeans,16,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,2290.87,2.71849906667
27,kmeans,24,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,1306.01,2.3246978
28,kmeans,40,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,949.94,2.81815533333
29,kmeans,56,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,904.27,3.75573473333
30,kmeans,12,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1273.45,1.757361
31,kmeans,20,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,861.06,1.980438
32,kmeans,28,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,513.9,1.654758
33,kmeans,8,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,2146.97,1.9752124
34,kmeans,10,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,542.99,1.357475
35,kmeans,14,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,520.03,1.820105
36,kmeans,4,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,1509.87,1.50987
37,kmeans,6,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,662.69,0.994035
38,kmeans,8,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,589.8,1.1796
39,kmeans,16,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,1582.1,2.21494
40,kmeans,32,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,714.84,2.001552
41,kmeans,40,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,702.86,2.46001
42,kmeans,56,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,765.53,3.751097
43,kmeans,12,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,638.62,1.085654
44,kmeans,16,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,566.4,1.28384
45,kmeans,20,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,534.74,1.51509666667
46,kmeans,28,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,558.32,2.21466933333
47,kmeans,8,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,1193.13,1.352214
48,spark,14,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,694.54,1.81506453333
49,spark,2,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,7576.74,2.8286496
50,spark,4,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,3059.14,2.28415786667
51,spark,6,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,2205.41,2.4700592
52,spark,8,1,ebs,2,slow,0.12,500,c4.2xlarge,15,8,fast,0.552,1185.96,1.7710336
53,spark,16,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,3211.84,3.68290986667
54,spark,32,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,1205.88,2.7654848
55,spark,8,2,ebs,2,slow,0.12,500,c4.large,3.75,2,fast,0.138,5944.13,3.40796786667
56,spark,16,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,1057.33,1.8609008
57,spark,20,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,942.58,2.073676
58,spark,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,675.61,2.0808788
59,spark,4,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,5069.17,2.2304348
60,spark,8,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,2739.26,2.4105488
61,spark,10,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,413.38,2.15416911111
62,spark,14,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,397.4,2.89925377778
63,spark,2,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,7803.09,8.1325538
64,spark,4,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,705.83,1.47126342222
65,spark,6,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,533.54,1.66820173333
66,spark,8,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,446.91,1.86311813333
67,spark,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,510.31,1.59556926667
68,spark,16,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,469.52,1.95737671111
