framework,workload,datasize,c3.large,c3.xlarge,c3.2xlarge,c4.large,c4.xlarge,c4.2xlarge,m3.large,m3.xlarge,m3.2xlarge,m4.large,m4.xlarge,m4.2xlarge,r3.large,r3.xlarge,r3.2xlarge,r4.large,r4.xlarge,r4.2xlarge
spark1.5,als,large,4.206642244,1.859372819,2.581743084,3.617298814,1,2.504255608,1.277923394,1.590507736,2.493257829,1.363375422,1.125804017,1.977022045,1.510271726,2.060300787,3.101336162,1.218716816,1.937545924,2.26106731
spark1.5,als,medium,2.231117082,1.393894311,2.334240271,1.861526614,2.888631463,1.952217129,1.356539007,1.829868626,3.672571071,1,1.274696933,2.580135346,1.68113098,2.242167573,4.081853621,1.315484945,2.096455363,2.896324003
spark1.5,als,small,1.363262262,1.10073536,1.80627772,1.168941158,1.130722861,1.686914462,1.118292973,1.584652869,2.511931682,1.192252232,1,1.568326233,1.293002578,1.779154432,2.81311469,1.436481514,1.640529629,2.184109663
spark1.5,block-matrix-mult,large,1.193916348,1.925284752,2.648933845,1.029370708,2.515891901,2.82821208,1.355312984,2.024772566,3.437393122,1,1.457460734,2.533592446,1.739956098,2.623407032,4.408828729,1.477424878,2.01830407,3.423388451
spark1.5,chi-sq-feature,large,1.127943391,1.412321137,1.899887572,1,1.268629732,1.470173366,1.602899102,1.940660198,3.135910811,1.292180174,1.41589683,2.484093139,1.950679781,2.613152494,2.759581712,1.868835555,2.172866149,2.243753105
spark1.5,chi-sq-feature,medium,1.186448407,1.519728462,2.229183974,1,1.318640909,2.359995618,1.570676763,2.092076574,2.590948147,1.291279792,1.532334529,1.923658988,2.010743674,2.579801605,2.964790319,1.895025295,2.677505679,2.385939299
spark1.5,chi-sq-feature,small,1.127791287,1.545705775,2.175471702,1,1.323068,1.655865099,1.660557251,2.092858504,2.655593767,1.307015438,1.433059541,2.086424359,2.377710814,2.554072881,3.455097966,2.203132956,2.776189634,2.552321839
spark1.5,chi-sq-gof,medium,1.240338957,1.993422558,4.415509389,1.121705109,1.461083644,3.921570434,1.37542447,2.54370219,5.710407995,1,1.809094167,4.111210943,1.758372358,3.247921976,7.261695375,1.320866194,2.335416572,5.948475583
spark1.5,chi-sq-gof,small,2.183102835,2.214905474,4.698861579,1.023983778,1.692421476,4.206733546,1.386862511,2.872988429,6.440942044,1,2.144042268,4.512945092,1.746567657,3.658418079,8.157244,1.442647194,2.755752057,6.745067927
spark1.5,chi-sq-mat,large,1.13470216,2.208019816,4.485129672,1,1.617866382,4.053314855,1.491898187,2.77903362,6.191466479,1.040259566,1.976433702,4.313376543,1.893952736,3.435465961,8.226163252,1.331679919,2.603503943,5.687217127
